-183.560, 74.449, 2.025,  3.646
-183.557, 74.382, 2.031,  3.679
-183.554, 74.314, 2.038,  3.712
-183.552, 74.246, 2.045,  3.745
-183.549, 74.178, 2.052,  3.778
-183.546, 74.109, 2.059,  3.811
-183.544, 74.040, 2.065,  3.844
-183.541, 73.971, 2.072,  3.877
-183.538, 73.902, 2.078,  3.910
-183.536, 73.833, 2.085,  3.943
-183.533, 73.763, 2.092,  3.976
-183.530, 73.693, 2.099,  4.009
-183.528, 73.623, 2.106,  4.042
-183.525, 73.553, 2.113,  4.075
-183.522, 73.482, 2.120,  4.108
-183.519, 73.412, 2.127,  4.141
-183.517, 73.341, 2.134,  4.174
-183.514, 73.269, 2.140,  4.207
-183.511, 73.198, 2.147,  4.240
-183.509, 73.126, 2.154,  4.273
-183.506, 73.054, 2.162,  4.306
-183.503, 72.982, 2.169,  4.339
-183.501, 72.910, 2.176,  4.372
-183.498, 72.837, 2.183,  4.405
-183.495, 72.764, 2.190,  4.438
-183.493, 72.691, 2.197,  4.471
-183.490, 72.618, 2.204,  4.504
-183.487, 72.544, 2.212,  4.537
-183.485, 72.470, 2.219,  4.570
-183.482, 72.396, 2.226,  4.603
-183.479, 72.322, 2.233,  4.636
-183.477, 72.247, 2.241,  4.669
-183.474, 72.172, 2.248,  4.702
-183.471, 72.097, 2.255,  4.735
-183.469, 72.022, 2.263,  4.768
-183.466, 71.946, 2.270,  4.801
-183.463, 71.870, 2.277,  4.834
-183.460, 71.794, 2.285,  4.867
-183.458, 71.718, 2.292,  4.900
-183.455, 71.642, 2.300,  4.933
-183.452, 71.565, 2.307,  4.966
-183.450, 71.488, 2.315,  4.999
-183.447, 71.410, 2.322,  5.032
-183.444, 71.333, 2.330,  5.065
-183.442, 71.255, 2.337,  5.098
-183.439, 71.177, 2.345,  5.131
-183.436, 71.099, 2.353,  5.164
-183.434, 71.020, 2.361,  5.197
-183.431, 70.941, 2.368,  5.230
-183.428, 70.862, 2.376,  5.263
-183.426, 70.783, 2.383,  5.296
-183.423, 70.703, 2.391,  5.329
-183.420, 70.623, 2.399,  5.362
-183.418, 70.543, 2.407,  5.395
-183.415, 70.463, 2.415,  5.428
-183.413, 70.382, 2.423,  5.461
-183.410, 70.301, 2.431,  5.494
-183.407, 70.220, 2.439,  5.527
-183.405, 70.139, 2.447,  5.560
-183.402, 70.057, 2.455,  5.593
-183.399, 69.975, 2.463,  5.626
-183.397, 69.893, 2.471,  5.659
-183.394, 69.810, 2.479,  5.692
-183.391, 69.727, 2.487,  5.725
-183.389, 69.644, 2.495,  5.758
-183.386, 69.561, 2.503,  5.791
-183.384, 69.477, 2.511,  5.824
-183.381, 69.393, 2.519,  5.857
-183.378, 69.309, 2.528,  5.890
-183.376, 69.225, 2.536,  5.923
-183.373, 69.140, 2.544,  5.956
-183.371, 69.055, 2.553,  5.989
-183.368, 68.970, 2.561,  6.022
-183.365, 68.884, 2.569,  6.055
-183.363, 68.799, 2.578,  6.088
-183.360, 68.712, 2.586,  6.121
-183.358, 68.626, 2.595,  6.154
-183.355, 68.539, 2.603,  6.187
-183.352, 68.452, 2.612,  6.220
-183.350, 68.365, 2.620,  6.253
-183.347, 68.278, 2.629,  6.286
-183.345, 68.190, 2.637,  6.319
-183.342, 68.102, 2.646,  6.352
-183.340, 68.013, 2.654,  6.385
-183.337, 67.925, 2.663,  6.418
-183.335, 67.836, 2.672,  6.451
-183.332, 67.747, 2.680,  6.484
-183.329, 67.657, 2.689,  6.517
-183.327, 67.567, 2.698,  6.550
-183.324, 67.477, 2.707,  6.583
-183.322, 67.387, 2.716,  6.616
-183.319, 67.296, 2.725,  6.649
-183.317, 67.205, 2.733,  6.682
-183.314, 67.114, 2.742,  6.715
-183.312, 67.022, 2.751,  6.748
-183.309, 66.930, 2.760,  6.781
-183.307, 66.838, 2.769,  6.814
-183.304, 66.745, 2.778,  6.847
-183.302, 66.653, 2.788,  6.880
-183.299, 66.560, 2.797,  6.913
-183.297, 66.466, 2.806,  6.946
-183.294, 66.372, 2.815,  6.979
-183.292, 66.278, 2.824,  7.012
-183.289, 66.184, 2.833,  7.045
-183.287, 66.089, 2.843,  7.078
-183.284, 65.994, 2.852,  7.111
-183.282, 65.899, 2.861,  7.144
-183.279, 65.804, 2.870,  7.177
-183.277, 65.708, 2.880,  7.210
-183.274, 65.611, 2.889,  7.243
-183.272, 65.515, 2.899,  7.276
-183.269, 65.418, 2.908,  7.309
-183.267, 65.321, 2.918,  7.342
-183.265, 65.223, 2.927,  7.375
-183.262, 65.126, 2.937,  7.408
-183.260, 65.028, 2.947,  7.441
-183.257, 64.929, 2.956,  7.474
-183.255, 64.830, 2.966,  7.507
-183.252, 64.731, 2.975,  7.540
-183.250, 64.632, 2.985,  7.573
